teams_ids,team,country,tm_data,city
19771,Anaitasuna,Spain,"Club Deportivo Anaitasuna is a Spanish football team based in Azkoitia, in the Autonomous Community of the Basque Country. Founded in 1934, it plays in the Tercera División RFEF – Group 4, holding home games at Campo Txerloia which has a capacity of 1,500 spectators.",Azkoitia
,Callosa Deportiva,Spain,,Callosa de Segura
7278,Sandhausen,Germany,"Sportverein Sandhausen 1916 e.V., commonly known as simply SV Sandhausen or  Sandhausen, is a German association football club that plays in Sandhausen, immediately to the south of Heidelberg in Baden-Württemberg. The club's greatest success came in 2011–12 when it won the 3.",Sandhausen
22984,Birmingham City U23,England,,Loughborough
11182,Ismaning,Germany,"FC Ismaning is a German association football club based in Ismaning by Munich, Bavaria.",Munich
,ATSV Erlangen,Germany,,Erlangen
15334,Spaeri,Georgia,,Tbilisi
,Kohtla-Jarve,Estonia,,Kohtla-Järve
13627,Costa Rica EC,Brazil,"Costa Rica Esporte Clube, commonly referred to as Costa Rica, is a Brazilian professional football club based in Costa Rica, Mato Grosso do Sul founded on 2 December 2004.",Costa Rica
23565,Crewe Alexandra U23,England,,Crewe
23245,Vratimov,Czech Republic,,Vratimov
19541,Chelsea (W),England,,London
13386,Mahalla Tripoli,Libya,,Tripoli
,VRI,Denmark,,Risskov
18997,Imperia,Italy,,Imperia
,Sona,Italy,,Sona
,Franciacorta FC,Italy,,Adro
14084,SV Linx,Germany,"SV Linx is a German association football club from the district of Linx in the city of Rheinau, Baden-Württemberg. It is part of a 340 member sports club that also has departments for gymnastics and volleyball.",Rheinau
8065,Neckarsulmer,Germany,"Neckarsulmer SU is a German sports club from the town of Neckarsulm, Baden-Württemberg. The football club's greatest success has been promotion to the tier five Oberliga Baden-Württemberg in 2016 and participation in the first round of the 2013–14 DFB-Pokal.",Neckarsulm
16683,Chacaritas,Ecuador,,Pelileo
18625,CSKA (W),Russia,,Moscow
,Ryazan-VDV (W),Russia,,Ryazan
16092,Tekstilac Derventa,Bosnia-Herzegovina,"Fudbalski klub Tekstilac Derventa is a professional association football club from the town of Derventa, Republika Srpska that is situated in Bosnia and Herzegovina.",Derventa
18878,Sloboda Novi Grad,Bosnia-Herzegovina,"Fudbalski klub Sloboda Novi Grad is a football club from the town of Novi Grad, Republika Srpska, Bosnia and Herzegovina. The club competes in the First League of the Republika Srpska.",Novi Grad
14897,Avion Academy,Cameroon,,Douala
749,Mansfield,England,,Mansfield
13347,Arba Minch,Ethiopia,"Arba Minch City Football Club, also known as Arba Minch Kenema, is a professional Ethiopian football club based in Arba Minch. They play in the Ethiopian Premier League, the top division of professional football in Ethiopia.",Arba Minch
15102,Mt Druitt Town,Australia,,Sydney
9730,Spakenburg,Netherlands,SV Spakenburg is a Dutch football club based in Bunschoten. It was founded in 1931 and currently competes in the Tweede Divisie. It shares a football rivalry with IJsselmeervogels that is also from Bunschoten-Spakenburg.,Bunschotenlso
18492,Olimp Comrat,Moldova,,Komrat
14531,Dunbeholden,Jamaica,,"    Spanish Town"
13949,Spartans Edinburgh,Scotland,"The Spartans Football Club are a Scottish football club based in Edinburgh. They were formed in 1951 by ex-players of Edinburgh University and the original intention was to field a team of graduates of the university. However, the club is now 'open' with players from many backgrounds.",Edinburgh
,Altona Magic,Australia,,Altona North
13142,Edirnespor,Turkey,"Edirnespor is the football team of Edirne, Turkey and her colours are yellow and red. Founded in 1966 In the beginning of 1990s Edirnespor was playing in the Turkish 2nd League.",Edirne
,Union ASD Casatese,Italy,,Casatenovo
,Castellanzese,Italy,,Castellanza
,Dolomiti Bellunesi,Italy,,Belluno
,Gravina,Italy,,"    Gravina in Puglia"
,Jadran Dekani,Slovenia,,Dekani
14145,Beltinci,Slovenia,"Nogometno društvo Beltinci is a Slovenian football club from the town of Beltinci. The club was established in 2006 after the dissolution of NK Beltinci in the early 2000s. As of the 2022–23 season, the club competes in the Slovenian Second League.",Beltinci
,Madrid 2021,Spain,,Madrid
23171,Galapagar,Spain,,Madrid
19748,Tomares,Spain,,Tomares
20330,Villafranca,Spain,,Vilafranca del Penedès
,Girona II,Spain,,Girona
,Inter Ibiza,Spain,,Eivissa
22866,Gran Tarajal,Spain,,"    Gran Tarajal"
13582,Atletico San Cristobal,Spain,,Tarrasa
16871,Manresa,Spain,,Manresa
22842,Moratalaz,Spain,"Escuela Deportiva Moratalaz is a Spanish football team based in Madrid, in the neighbourhood of Moratalaz. Founded in 2006, plays in Tercera División RFEF – Group 7. The team's stadium is the Dehesa de Moratalaz with capacity of 2,500 seats.",Madrid
23198,CF Epila,Spain,"Asociación Deportiva Club de Fútbol Épila is a Spanish football team based in Épila, in the autonomous community of Aragon. Founded in 1947 they currently play in Tercera División – Group 17, holding home matches at Estadio La Huerta, with a capacity of 1,000 seats.",Épila
,Mazarrón,Spain,,Mazarrón
19878,CDA,Spain,"Club Deportivo Acero is a Spanish football team based in Puerto de Sagunto, in the Valencian Community. Founded in 1919 it plays in Tercera División RFEF – Group 6, holding home games at Estadio El Fornàs, which has a capacity of 4,500 spectators.",Puerto de Sagunto
,Torrellano Illice,Spain,,Torrellano
,Hércules II,Spain,,Alicante
,Volna Kovernino,Russia,,Kovernino
22907,Cascina,Italy,"Associazione Sportiva Dilettantistica Cascina is an Italian association football club located in Cascina, Tuscany. It currently plays in Serie D.",Cascina
9309,"Babelsberg 03 ",Germany,"SV Babelsberg 03 is a German association football club based in Potsdam-Babelsberg, on the outskirts of Berlin. The team was founded as Sport-Club Jugendkraft 1903 and again as SG Karl-Marx Babelsberg in 1948 as successor to the pre-war side SpVgg Potsdam 03.",Potsdam-Babelsberg
,Campos,Spain,,Campos
,Tarancón,Spain,,Tarancón
19877,Aurrera Ondarroa,Spain,"Club Deportivo Aurrerá Ondarroa is a Spanish football team based in Ondarroa, in the autonomous community of Basque Country. Founded in 1921, it plays in Tercera División RFEF – Group 4, holding home matches at Zaldupe.",Ondarroa
22840,Las Palmas III,Spain,,Las Palmas
719,Sedan,France,"Club Sportif Sedan Ardennes, commonly referred to as CS Sedan or simply Sedan (French pronunciation: ​[sədɑ̃]), is a French association football club based in Sedan. The club was formed in 1919 and plays its home matches at the Stade Louis Dugauguez located within the city.",Sedan
19777,Macarthur FC,Australia,"Macarthur Football Club is an Australian professional soccer club based in South Western Sydney, New South Wales. It competes in Australia's premier football competition, the A-League, under licence from Australian Professional Leagues (APL).",Sydney
11052,Caravaca,Spain,"Caravaca Club de Fútbol was a Spanish football team based in Caravaca de la Cruz, in the Region of Murcia. Founded in 1969 and dissolved in 2011, it held home games at Estadio Antonio Martínez El Morao, with a capacity of 2,000 spectators.",Caravaca de la Cruz
21988,Nottingham Forest U23,England,,Alfreton
,TSV 1880 Wasserburg,Germany,,"    Wasserburg am Inn"
13484,Heartland,Nigeria,"Heartland Football Club founded as Spartans F.C., later known as Iwuanyanwu Nationale from 1985 to 2006 is a Nigerian football club based in Owerri.",Owerri
,Al-Msnaa,Oman,,Al-Musannah
,Verona U19,Italy,,Verona
10451,Pennarossa,San Marino,"S.S. Pennarossa is a Sanmarinese football club, based in Chiesanuova. The club was founded in 1968. Pennarossa currently plays in Girone A of Campionato Sammarinese di Calcio. The team's colors are red and white.",Chiesanuova
19843,Zagorets,Bulgaria,"FC Zagorets is a Bulgarian football club based in Nova Zagora, currently playing in the Third League, the third tier of Bulgarian football league system.  The club was founded in 1922 as FC Trakiets. They play their home games at the 5,900-capacity Stadion Zagorets.",Nova Zagora
22466,Rozova dolina,Bulgaria,"Football Club Rozova Dolina Kazanlak or simply known as Rozova Dolina (Bulgarian: Розова Долина) is a Bulgarian association football club based in the town of Kazanlak, Stara Zagora Province, which currently competes in the South-East Third League, the third division of Bulgarian football.",Kazanlak
10441,Primorje,Slovenia,"Nogometno društvo Primorje or simply ND Primorje is a Slovenian football club which plays in the town of Ajdovščina. The club was established in 2011. They competes in the Slovenian Second League, the second level of Slovenian football.",Ajdovščina
12166,Pforzheim,Germany,"1. FC Pforzheim was a German association football club playing in Pforzheim, Baden-Württemberg. The club was established on 5 May 1896 and was a founding member of the German Football Association in Leipzig in 1900. In 2010 it merged with VfR Pforzheim to form 1. CfR Pforzheim.",Pforzheim
19491,UPDF,Uganda,,Bombo
22752,Arua Hill SC,Uganda,"Arua Hill Sports Club is a Ugandan football club based in Arua. Previously branded as (Aziz Damani) Doves All Stars FC, Arua Hill SC got promoted to the 2022 Ugandan Premier League after topping their Elgon Group in the 2021 FUFA Big League.",Arua
,Armadale,Australia,,Forrestdale
21652,Neuruppin,Germany,"MSV Neuruppin is a German association football club from Neuruppin, Brandenburg.",Neuruppin
,Rostocker FC 1895,Germany,,Rostock
,FC Mecklenburg Schwerin,Germany,,Schwerin
,Breinig,Germany,,Stolberg
18874,Dueren,Germany,,Düren
